complaint_text,category,days_pending,location_type,priority
Sewage overflow not fixed yet,Drainage,8,Hospital Area,High
Road sinking problem,Road Damage,5,Market,Medium
Water logging problem,Drainage,1,Highway,Critical
Loose electric wires hanging citizens suffering,Electricity,5,School Area,Medium
Sewage overflow,Drainage,4,School Area,Medium
Road cracked badly after rain kindly look into this,Road Damage,4,Hospital Area,Medium
Drain water mixed on road and also Pothole causing accidents very urgent,Drainage,1,School Area,Critical
No proper water supply dangerous situation,Water Issue,6,Hospital Area,High
Streetlight not working,Electricity,1,Residential,Low
Pipeline burst near market not fixed yet,Water Issue,10,Residential,High
Electric pole sparking and also Garbage scattered everywhere causing problems,Electricity,2,School Area,High
Waste dumping issue and also Electric pole sparking immediate action needed,Garbage,9,School Area,High
Water leakage for 9 days and also Road cracked badly after rain causing problems,Water Issue,9,Hospital Area,High
Power outage for 8 hours dangerous situation,Electricity,8,Residential,High
Drain cleaning required urgently not fixed yet,Drainage,1,Hospital Area,Low
Electric pole sparking causing problems,Electricity,6,Market,High
Dirty water coming from taps and also Sewage overflow kindly look into this,Water Issue,5,Residential,Medium
Road cracked badly after rain since many days,Road Damage,10,Market,High
Road cracked badly after rain and also Drain water mixed on road please resolve soon,Road Damage,9,Highway,Critical
Electric pole sparking since many days,Electricity,9,Highway,Critical
Pipeline burst near market dangerous situation,Water Issue,5,Residential,High
Drain blockage for 8 days and also Sewage overflow citizens suffering,Drainage,8,Market,High
Water leakage for 9 days since many days,Water Issue,9,Highway,Critical
Road cracked badly after rain,Road Damage,4,Highway,Critical
Garbage not collected for 5 days very urgent,Garbage,5,Hospital Area,Medium
Dirty water coming from taps kindly look into this,Water Issue,7,Highway,Critical
Big pothole near school and also Power outage for {} hours causing problems,Road Damage,1,Hospital Area,Low
Overflowing dustbins near road immediate action needed,Garbage,1,Hospital Area,Low
Garbage not collected for 8 days and also Frequent power cuts kindly look into this,Garbage,8,Highway,Critical
No proper water supply and also Road cracked badly after rain kindly look into this,Water Issue,5,Market,Medium
Uneven road surface causing problems,Road Damage,9,Residential,High
Pothole causing accidents please resolve soon,Road Damage,7,Market,Critical
Drain blockage for 2 days since many days,Drainage,2,Residential,Low
Big pothole near school,Road Damage,4,Highway,Critical
Drain cleaning required urgently since many days,Drainage,10,Market,High
Streetlight not working,Electricity,4,Highway,Critical
Dirty water coming from taps since many days,Water Issue,2,Residential,Low
Waste dumping issue,Garbage,8,Highway,Critical
Dirty water coming from taps dangerous situation,Water Issue,7,Residential,High
Water logging problem,Drainage,5,Market,Medium
Water logging problem and also Road cracked badly after rain,Drainage,10,Market,High
Power outage for 3 hours not fixed yet,Electricity,3,Residential,Low
Big pothole near school and also Electric pole sparking,Road Damage,2,Highway,Critical
No proper water supply immediate action needed,Water Issue,5,Highway,Critical
Streetlight not working please resolve soon,Electricity,6,School Area,Medium
Electric pole sparking not fixed yet,Electricity,4,Residential,High
Frequent power cuts,Electricity,5,Hospital Area,Medium
Streetlight not working dangerous situation,Electricity,2,Hospital Area,High
Loose electric wires hanging kindly look into this,Electricity,10,Hospital Area,High
Water logging problem please resolve soon,Drainage,2,Residential,Low
Road sinking problem,Road Damage,2,Hospital Area,Low
Waste dumping issue not fixed yet,Garbage,3,Highway,Critical
Pothole causing accidents,Road Damage,1,Market,Critical
Uneven road surface immediate action needed,Road Damage,7,Market,High
Frequent power cuts and also Road cracked badly after rain immediate action needed,Electricity,6,Hospital Area,Medium
Low water pressure in area immediate action needed,Water Issue,4,Hospital Area,Medium
Garbage not collected for 3 days very urgent,Garbage,3,Market,Low
Water logging problem,Drainage,2,Market,Low
Waste dumping issue causing problems,Garbage,7,Hospital Area,High
Pipeline burst near market please resolve soon,Water Issue,5,Highway,Critical
Drain blockage for 9 days and also Pipeline burst near market please resolve soon,Drainage,9,Residential,High
Water logging problem,Drainage,4,School Area,Medium
Drain blockage for 5 days and also Big pothole near school,Drainage,5,Hospital Area,Medium
Pipeline burst near market very urgent,Water Issue,4,Hospital Area,Medium
Drain blockage for 3 days dangerous situation,Drainage,3,School Area,High
Sewage overflow not fixed yet,Drainage,1,Hospital Area,Low
No proper watr supply very urgent,Water Issue,10,Hospital Area,High
Power outage for 4 hours kindly look into this,Electricity,4,Highway,Critical
Water logging problem immediate action needed,Drainage,3,Market,Low
Uneven road surface,Road Damage,3,School Area,Low
Waste dumping issue since many days,Garbage,3,Highway,Critical
Dirty water coming from taps and also Water leakage for {} days dangerous situation,Water Issue,2,Residential,High
Garbage scattered everywhere immediate action needed,Garbage,9,School Area,High
No proper water supply since many days,Water Issue,8,School Area,High
Frequent power cuts very urgent,Electricity,6,Hospital Area,Medium
Garbage not collected for 9 days and also Loose electric wires hanging since many days,Garbage,9,Market,High
Low water pressure in area please resolve soon,Water Issue,10,Residential,High
Loose electric wires hanging causing problems,Electricity,2,Highway,Critical
Loose electric wires hanging and also Road cracked badly after rain very urgent,Electricity,2,Highway,Critical
Road sinking problem and also Power outage for {} hours causing problems,Road Damage,1,Market,Low
Bad smell due to garbage and also Drain cleaning required urgently dangerous situation,Garbage,10,Market,High
Power outage for 3 hours and also Road sinking problem,Electricity,3,Residential,Low
Electric pole sparking,Electricity,1,Residential,High
Pothole causing accidents please resolve soon,Road Damage,5,Highway,Critical
Drain cleaning required urgently,Drainage,10,Residential,High
No proper water supply not fixed yet,Water Issue,8,Residential,High
Pipeline burst near market kindly look into this,Water Issue,9,Residential,High
Sewage overflow,Drainage,10,Highway,Critical
Electric pole sparking and also Dirty water coming from taps since many days,Electricity,2,Market,High
Water logging problem please resolve soon,Drainage,9,Market,High
Loose electric wires hanging immediate action needed,Electricity,4,Residential,Medium
Road sinking problem immediate action needed,Road Damage,5,Highway,Critical
Waste dumping issue not fixed yet,Garbage,6,Hospital Area,Medium
Road sinking problem and also Drain cleaning required urgently immediate action needed,Road Damage,6,School Area,Medium
Bad smell due to garbage,Garbage,8,Highway,Critical
Electric pole sparking citizens suffering,Electricity,3,Highway,Critical
Loose electric wires hanging,Electricity,5,Residential,Medium
Sewage overflow kindly look into this,Drainage,9,Hospital Area,High
Road cracked badly after rain,Road Damage,9,Market,High
Big pothole near school,Road Damage,6,Hospital Area,Medium
Road cracked badly after rain please resolve soon,Road Damage,8,Residential,High
Drain blockage for 9 days kindly look into this,Drainage,9,Highway,Critical
Pipeline burst near market kindly look into this,Water Issue,2,Highway,Critical
Big pothole near school and also Streetlight not working citizens suffering,Road Damage,10,Hospital Area,High
Garbage scattered everywhere please resolve soon,Garbage,10,School Area,High
Streetlight not working and also Overflowing dustbins near road kindly look into this,Electricity,3,Highway,Critical
Drain water mixed on road,Drainage,4,Market,Medium
Uneven road surface,Road Damage,1,Highway,Critical
Frequent power cuts,Electricity,6,Highway,Critical
Garbage scattered everywhere,Garbage,1,Market,Low
Power outage for 3 hours and also Sewage overflow citizens suffering,Electricity,3,Residential,Low
Road cracked badly after rain not fixed yet,Road Damage,1,Highway,Critical
Big pothole near school and also Uneven road surface,Road Damage,1,Market,Low
Big pothole near school citizens suffering,Road Damage,8,School Area,High
Waste dumping issue immediate action needed,Garbage,2,Highway,Critical
Bad smell due to garbage,Garbage,2,Highway,Critical
Drain water mixed on road please resolve soon,Drainage,4,Residential,Medium
Pipeline burst near market,Water Issue,3,Market,Low
Garbage scattered everywhere,Garbage,8,Hospital Area,High
Uneven road surface since many days,Road Damage,6,School Area,Medium
Uneven raod surface citizens suffering,Road Damage,10,Highway,Critical
Water logging problem,Drainage,6,Hospital Area,Medium
Electric pole sparking immediate action needed,Electricity,9,Highway,Critical
Dirty water coming from taps,Water Issue,1,Hospital Area,Low
Water leakage for 9 days and also Road cracked badly after rain citizens suffering,Water Issue,9,Market,High
Streetlight not working,Electricity,5,School Area,Medium
No proper water supply please resolve soon,Water Issue,7,Market,High
Water logging problem immediate action needed,Drainage,3,Residential,Low
Low water pressure in area and also Bad smell due to garbage,Water Issue,6,Highway,Critical
Streetlight not working and also Drain cleaning required urgently,Electricity,7,Hospital Area,High
Bad smell due to garbage please resolve soon,Garbage,3,Residential,Low
Road cracked badly after rain and also Sewage overflow causing problems,Road Damage,8,Highway,Critical
Road sinking problem,Road Damage,2,Market,Low
Drain water mixed on road dangerous situation,Drainage,1,Highway,Critical
Drain water mixed on road dangerous situation,Drainage,3,Highway,Critical
Drain cleaning required urgently and also Drain cleaning required urgently not fixed yet,Drainage,8,Market,High
Low watr pressure in area and also Garbage not collected for {} days not fixed yet,Water Issue,9,Highway,Critical
Big pothole near school and also Electric pole sparking immediate action needed,Road Damage,4,Market,High
Bad smell due to garbage not fixed yet,Garbage,1,Market,Low
Overflowing dustbins near road dangerous situation,Garbage,7,Residential,High
Power outage for 8 hours and also Pothole causing accidents please resolve soon,Electricity,8,Market,Critical
Road cracked badly after rain and also Bad smell due to garbage citizens suffering,Road Damage,8,Hospital Area,High
Electric pole sparking very urgent,Electricity,9,Residential,High
Water leakage for 9 days since many days,Water Issue,9,Market,High
Road cracked badly after rain dangerous situation,Road Damage,10,Highway,Critical
Drain blockage for 8 days citizens suffering,Drainage,8,School Area,High
Waste dumping issue and also Sewage overflow,Garbage,3,Hospital Area,Low
Road sinking problem,Road Damage,10,Highway,Critical
Road cracked badly after rain since many days,Road Damage,5,School Area,Medium
Loose electric wires hanging please resolve soon,Electricity,8,School Area,High
Pipeline burst near market,Water Issue,7,Hospital Area,High
Low watr pressure in area,Water Issue,8,School Area,High
Water leakage for 1 days immediate action needed,Water Issue,1,Residential,Low
Frequent power cuts immediate action needed,Electricity,8,Market,High
Drain water mixed on road and also Uneven road surface,Drainage,3,School Area,Low
Low watr pressure in area causing problems,Water Issue,4,Highway,Critical
Drain cleaning required urgently and also Garbage not collected for {} days causing problems,Drainage,8,School Area,High
No proper water supply,Water Issue,8,Market,High
Overflowing dustbins near raod,Garbage,8,Market,High
Bad smell due to garbage citizens suffering,Garbage,7,Residential,High
Low water pressure in area immediate action needed,Water Issue,5,Residential,Medium
Sewage overflow and also Bad smell due to garbage kindly look into this,Drainage,2,Residential,Low
Bad smell due to garbage,Garbage,6,Residential,Medium
Water leakage for 2 days,Water Issue,2,Residential,Low
Pipeline burst near market please resolve soon,Water Issue,4,Market,Medium
Big pothole near school dangerous situation,Road Damage,1,Hospital Area,High
Uneven road surface and also Drain blockage for {} days very urgent,Road Damage,1,School Area,Low
Streetlight not working,Electricity,5,School Area,Medium
Loose electric wires hanging please resolve soon,Electricity,4,School Area,Medium
Low water pressure in area,Water Issue,6,Residential,Medium
Electric pole sparking please resolve soon,Electricity,6,Hospital Area,High
No proper water supply and also No proper water supply not fixed yet,Water Issue,6,Market,Medium
Dirty water coming from taps very urgent,Water Issue,9,Market,High
Garbage not collected for 3 days and also Road cracked badly after rain please resolve soon,Garbage,3,Residential,Low
Overflowing dustbins near raod very urgent,Garbage,2,Highway,Critical
Frequent power cuts immediate action needed,Electricity,6,Highway,Critical
Dirty water coming from taps and also Garbage not collected for {} days please resolve soon,Water Issue,3,Residential,Low
Power outage for 2 hours immediate action needed,Electricity,2,Highway,Critical
Dirty water coming from taps,Water Issue,10,Highway,Critical
Bad smell due to garbage,Garbage,10,Residential,High
Electric pole sparking and also Power outage for {} hours dangerous situation,Electricity,8,Residential,High
Drain cleaning required urgently and also Electric pole sparking citizens suffering,Drainage,8,Highway,Critical
Power outage for 2 hours and also Dirty water coming from taps not fixed yet,Electricity,2,Highway,Critical
Dirty water coming from taps and also Electric pole sparking kindly look into this,Water Issue,1,Residential,High
Low water pressure in area causing problems,Water Issue,10,Highway,Critical
Loose electric wires hanging causing problems,Electricity,4,Market,Medium
Overflowing dustbins near road dangerous situation,Garbage,9,Highway,Critical
Garbage not collected for 4 days immediate action needed,Garbage,4,Hospital Area,Medium
Power outage for 8 hours dangerous situation,Electricity,8,Hospital Area,High
Frequent power cuts citizens suffering,Electricity,2,Residential,Low
Pipeline burst near market since many days,Water Issue,2,Residential,Low
Frequent power cuts immediate action needed,Electricity,2,Hospital Area,Low
Road sinking problem dangerous situation,Road Damage,2,Residential,High
Water leakage for 6 days and also Electric pole sparking,Water Issue,6,School Area,High
Bad smell due to garbage,Garbage,3,Residential,Low
Dirty watr coming from taps,Water Issue,4,School Area,Medium
No proper water supply immediate action needed,Water Issue,2,School Area,Low
Drain watr mixed on road citizens suffering,Drainage,7,Highway,Critical
Pipeline burst near market and also Dirty water coming from taps citizens suffering,Water Issue,6,School Area,Medium
Loose electric wires hanging please resolve soon,Electricity,1,Highway,Critical
Drain cleaning required urgently since many days,Drainage,2,School Area,Low
Water logging problem and also Loose electric wires hanging,Drainage,8,School Area,High
Drain water mixed on road,Drainage,9,Highway,Critical
Road cracked badly after rain dangerous situation,Road Damage,1,Residential,High
Water logging problem causing problems,Drainage,7,Residential,High
Garbage not collected for 5 days since many days,Garbage,5,Market,Medium
Sewage overflow and also Drain blockage for {} days,Drainage,5,Hospital Area,Medium
Sewage overflow and also Road sinking problem not fixed yet,Drainage,7,Residential,High
Uneven road surface very urgent,Road Damage,5,Residential,Medium
Low water pressure in area immediate action needed,Water Issue,3,Market,Low
Drain blockage for 2 days very urgent,Drainage,2,Hospital Area,Low
Road cracked badly after rain since many days,Road Damage,7,Residential,High
Drain blockage for 9 days not fixed yet,Drainage,9,Highway,Critical
Water logging problem kindly look into this,Drainage,5,Highway,Critical
Drain blockage for 6 days citizens suffering,Drainage,6,Market,Medium
Bad smell due to garbage and also No proper watr supply citizens suffering,Garbage,3,School Area,Low
Garbage not collected for 2 days citizens suffering,Garbage,2,Hospital Area,Low
Dirty water coming from taps please resolve soon,Water Issue,5,Residential,Medium
Water logging problem very urgent,Drainage,7,Highway,Critical
Water logging problem causing problems,Drainage,7,Market,High
Uneven road surface,Road Damage,5,Residential,Medium
Dirty water coming from taps since many days,Water Issue,1,Residential,Low
Drain watr mixed on road since many days,Drainage,7,School Area,High
Water leakage for 5 days and also No proper water supply,Water Issue,5,Market,Medium
Dirty water coming from taps citizens suffering,Water Issue,3,Residential,Low
Dirty water coming from taps citizens suffering,Water Issue,9,Residential,High
Streetlight not working since many days,Electricity,7,Market,High
Garbage not collected for 5 days not fixed yet,Garbage,5,Hospital Area,Medium
Low water pressure in area and also Low water pressure in area immediate action needed,Water Issue,1,Highway,Critical
No proper water supply causing problems,Water Issue,6,Residential,Medium
Waste dumping issue,Garbage,3,Market,Low
Water logging problem,Drainage,6,Market,Medium
Road cracked badly after rain since many days,Road Damage,1,Hospital Area,Low
Sewage overflow,Drainage,9,Highway,Critical
Uneven road surface please resolve soon,Road Damage,6,Market,Medium
Garbage not collected for 4 days citizens suffering,Garbage,4,Hospital Area,Medium
No proper water supply and also Water logging problem since many days,Water Issue,10,Highway,Critical
Bad smell due to garbage dangerous situation,Garbage,4,School Area,High
Road cracked badly after rain very urgent,Road Damage,9,Hospital Area,High
Uneven road surface,Road Damage,6,Market,Medium
Road cracked badly after rain please resolve soon,Road Damage,3,Market,Low
Overflowing dustbins near raod,Garbage,4,Market,Medium
Low water pressure in area causing problems,Water Issue,6,School Area,Medium
Loose electric wires hanging,Electricity,2,Highway,Critical
Pothole causing accidents kindly look into this,Road Damage,8,Hospital Area,Critical
Power outage for 10 hours,Electricity,10,Hospital Area,High
Low water pressure in area very urgent,Water Issue,2,School Area,Low
Road sinking problem and also Dirty water coming from taps not fixed yet,Road Damage,8,Residential,High
Power outage for 10 hours and also Water logging problem not fixed yet,Electricity,10,Hospital Area,High
Drain blockage for 2 days citizens suffering,Drainage,2,Highway,Critical
Garbage not collected for 3 days causing problems,Garbage,3,Hospital Area,Low
Drain cleaning required urgently,Drainage,10,School Area,High
Garbage not collected for 7 days and also Pipeline burst near market since many days,Garbage,7,Hospital Area,High
Frequent power cuts since many days,Electricity,2,Highway,Critical
Garbage not collected for 1 days kindly look into this,Garbage,1,Market,Low
Road sinking problem and also Water leakage for {} days immediate action needed,Road Damage,1,School Area,Low
Water logging problem immediate action needed,Drainage,5,Residential,Medium
Low water pressure in area not fixed yet,Water Issue,1,Market,Low
Big pothole near school,Road Damage,9,Hospital Area,High
Dirty watr coming from taps please resolve soon,Water Issue,3,School Area,Low
Drain cleaning required urgently please resolve soon,Drainage,5,Residential,Medium
Pothole causing accidents and also Water logging problem,Road Damage,5,Highway,Critical
Electric pole sparking causing problems,Electricity,7,Residential,High
Road sinking problem,Road Damage,10,Residential,High
Pipeline burst near market,Water Issue,10,Highway,Critical
Drain blockage for 2 days,Drainage,2,Residential,Low
Garbage scattered everywhere and also Uneven road surface immediate action needed,Garbage,3,Residential,Low
Garbage scattered everywhere,Garbage,4,Hospital Area,Medium
Streetlight not working very urgent,Electricity,5,Market,Medium
Pothole causing accidents kindly look into this,Road Damage,6,Highway,Critical
Drain blockage for 10 days not fixed yet,Drainage,10,Hospital Area,High
Garbage scattered everywhere since many days,Garbage,7,School Area,High
Frequent power cuts and also Power outage for {} hours dangerous situation,Electricity,3,Hospital Area,High
Water leakage for 3 days and also Garbage not collected for {} days not fixed yet,Water Issue,3,Hospital Area,Low
Road cracked badly after rain,Road Damage,10,Market,High
Bad smell due to garbage immediate action needed,Garbage,10,Hospital Area,High
Low water pressure in area please resolve soon,Water Issue,9,Highway,Critical
Low water pressure in area please resolve soon,Water Issue,5,Residential,Medium
Loose electric wires hanging since many days,Electricity,4,Highway,Critical
Bad smell due to garbage,Garbage,2,Market,Low
Big pothole near school,Road Damage,1,Market,Low
Uneven road surface citizens suffering,Road Damage,8,Hospital Area,High
Road sinking problem since many days,Road Damage,1,Highway,Critical
Water leakage for 2 days not fixed yet,Water Issue,2,Hospital Area,Low
No proper water supply citizens suffering,Water Issue,5,Highway,Critical
Overflowing dustbins near raod since many days,Garbage,4,Residential,Medium
Garbage scattered everywhere,Garbage,8,School Area,High
Pipeline burst near market and also Waste dumping issue citizens suffering,Water Issue,2,Hospital Area,Low
Low water pressure in area dangerous situation,Water Issue,3,Hospital Area,High
Garbage not collected for 6 days and also Loose electric wires hanging,Garbage,6,School Area,Medium
Drain water mixed on road immediate action needed,Drainage,1,Residential,Low
Garbage not collected for 9 days citizens suffering,Garbage,9,Market,High
Bad smell due to garbage kindly look into this,Garbage,8,Residential,High
Electric pole sparking very urgent,Electricity,6,Residential,High
Electric pole sparking and also Low water pressure in area immediate action needed,Electricity,9,School Area,High
Drain water mixed on road immediate action needed,Drainage,2,School Area,Low
No proper water supply since many days,Water Issue,1,Hospital Area,Low
